Luas Daerah dan Jumlah Pulau Menurut Provinsi, 2002-2016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Provinsi;Tahun;2000;;2002;;2003;;2004;;2005;;2006;;2007;;2009;;;2010;;;2012;;;;2013;;;;;2014;;;;;2015;;;;;2016;;;;
;Ibu Kota Provinsi;Luas 1;Persentase Terhadap Luas Indonesia;Luas 1;Persentase Terhadap Luas Indonesia;Luas 1;Persentase Terhadap Luas Indonesia;Luas 1;Persentase Terhadap Luas Indonesia;Luas 1;Persentase Terhadap Luas Indonesia;Luas 1;Persentase Terhadap Luas Indonesia;Luas 1;Persentase Terhadap Luas Indonesia;Luas 1;Persentase Terhadap Luas Indonesia;Jumlah Pulau 2;Luas 1;Persentase Terhadap Luas Indonesia;Jumlah Pulau 2;Luas 1;Persentase Terhadap Luas Indonesia;Jumlah Pulau 2;;Luas 1;;Persentase Terhadap Luas Indonesia;Jumlah Pulau 2;;Luas 1;;Persentase Terhadap Luas Indonesia;Jumlah Pulau 2;;Luas 1;;Persentase Terhadap Luas Indonesia;Jumlah Pulau 2;;Luas 1;;Persentase Terhadap Luas Indonesia;Jumlah Pulau 2;
Kalimantan Tengah;Palangka Raya;153 564.00; 7.99;153 564.00; 8.12;153 564.00; 8.12;153 564.50; 8.25;153 564.50; 8.25;153 564.50; 8.25;153 564.50; 8.04;153 564.50; 8.04; 32;153 564.50; 8.04; 32;153 564.50; 8.04; 32;;153 564.50;; 8.04; 32;;153 564.50;; 8.04; 32;;153 564.50;; 8.04; 32;;153 564.50;; 8.02; 32;
Kalimantan Selatan;Banjarmasin;36 535.00; 1.90;43 546.00; 2.30;43 546.00; 2.30;38 884.28; 2.09;38 884.28; 2.09;38 884.28; 2.09;38 744.23; 2.03;38 744.23; 2.03; 320;38 744.23; 2.03; 320;38 744.23; 2.03; 320;;38 744.23;; 2.03; 320;;38 744.23;; 2.03; 320;;38 744.23;; 2.03; 320;;38 744.23;; 2.02; 320;
Kalimantan Timur;Samarinda;210 985.00; 10.97;230 277.00; 12.18;230 277.00; 12.18;194 849.08; 10.47;194 849.08; 10.47;194 849.08; 10.47;204 534.34; 10.70;204 534.34; 10.70; 370;204 534.34; 10.70; 370;204 534.34; 10.70; 370;;129 066.64;3; 6.75; 370;4;129 066.64;3; 6.75; 370;4;129 066.64;3; 6.75; 370;4;129 066.64;; 6.74; 370;4
Kalimantan Utara;Bulungan;;;;;;;;;;;;;;;;;;;;;;;;;75 467.70;3; 3.95;–;;75 467.70;3; 3.95;–;;75 467.70;3; 3.95;-;;75 467.70;; 3.94;-;
Sulawesi Utara;Manado;27 488.00; 1.43;15 273.00; 0.81;15 273.00; 0.81;13 930.73; 0.75;13 930.73; 0.75;13 930.73; 0.75;13 851.64; 0.72;13 851.64; 0.72; 668;13 851.64; 0.72; 668;13 851.64; 0.72; 668;;13 851.64;; 0.72; 668;;13 851.64;; 0.72; 668;;13 851.64;; 0.72; 668;;13 851.64;; 0.72; 668;
Gorontalo;Gorontalo;;;12 215.00; 0.65;12 215.00; 0.65;12 165.44; 0.65;12 165.44; 0.65;12 165.44; 0.65;11 257.07; 0.59;11 257.07; 0.59; 136;11 257.07; 0.59; 136;11 257.07; 0.59; 136;;11 257.07;; 0.59; 136;;11 257.07;; 0.59; 136;;11 257.07;; 0.59; 136;;11 257.07;; 0.59; 136;
Sulawesi Tengah;Palu;63 689.00; 3.31;63 678.00; 3.37;63 678.00; 3.37;68 089.83; 3.66;68 089.83; 3.66;68 089.83; 3.66;61 841.29; 3.24;61 841.29; 3.24; 750;61 841.29; 3.24; 750;61 841.29; 3.24; 750;;61 841.29;; 3.24; 750;;61 841.29;; 3.24; 750;;61 841.29;; 3.24; 750;;61 841.29;; 3.23; 750;
Sulawesi Selatan;Makassar;62 483.00; 3.25;62 365.00; 3.30;62 365.00; 3.30;46 116.45; 2.48;46 116.45; 2.48;46 116.45; 2.48;46 717.48; 2.44;46 717.48; 2.44; 295;46 717.48; 2.44; 295;46 717.48; 2.44; 295;5;46 717.48;; 2.44; 295;5;46 717.48;; 2.44; 295;5;46 717.48;; 2.44; 295;5;46 717.48;; 2.44; 295;5
Sulawesi Barat;Mamuju;;;;;;;16 787.19; 0.90;16 787.19; 0.90;16 787.19; 0.90;16 787.18; 0.88;16 787.18; 0.88;-;16 787.18; 0.88;-;16 787.18; 0.88;-;;16 787.18;; 0.88;–;;16 787.18;; 0.88;–;;16 787.18;; 0.88;-;;16 787.18;; 0.88;-;
Sulawesi Tenggara;Kendari;38 140.00; 1.98;38 140.00; 2.02;38 140.00; 2.02;36 757.45; 1.98;36 757.45; 1.98;36 757.45; 1.98;38 067.70; 1.99;38 067.70; 1.99; 651;38 067.70; 1.99; 651;38 067.70; 1.99; 651;;38 067.70;; 1.99; 651;;38 067.70;; 1.99; 651;;38 067.70;; 1.99; 651;;38 067.70;; 1.99; 651;
Maluku;Ambon;77 871.00; 4.05;46 975.00; 2.48;46 975.00; 2.48;47 350.42; 2.55;47 350.42; 2.55;47 350.42; 2.55;46 914.03; 2.46;46 914.03; 2.46;1 422;46 914.03; 2.46;1 422;46 914.03; 2.46;1 422;;46 914.03;; 2.46;1 422;;46 914.03;; 2.46;1 422;;46 914.03;; 2.46;1 422;;46 914.03;; 2.45;1 422;
Maluku Utara;Ternate;;;30 895.00; 1.63;30 895.00; 1.63;39 959.99; 2.15;39 959.99; 2.15;39 959.99; 2.15;31 982.50; 1.67;31 982.50; 1.67;1 474;31 982.50; 1.67;1 474;31 982.50; 1.67;1 474;;31 982.50;; 1.67;1 474;;31 982.50;; 1.67;1 474;;31 982.50;; 1.67;1 474;;31 982.50;; 1.67;1 474;
Papua;Jayapura;421 981.00; 21.95;365 466.00; 19.33;365 466.00; 19.33;309 934.40; 16.66;309 934.40; 16.66;309 934.40; 16.66;319 036.05; 16.70;97 024.27; 5.08;1 945;319 036.05; 16.70; 598;319 036.05; 16.70; 598;;319 036.05;; 16.70; 598;;319 036.05;; 16.70; 598;;319 036.05;; 16.70; 598;;319 036.05;; 16.67; 598;
Papua Barat;Manokwari;;;;;;;114 566.40; 6.16;114 566.40; 6.16;114 566.40; 6.16;97 024.27; 5.08;319 036.05; 16.70; 598;97 024.27; 5.08;1 945;97 024.27; 5.08;1 945;;97 024.27;; 5.08;1 945;;97 024.27;; 5.08;1 945;;99 671.63;; 5.08;1 945;;99 671.63;; 5.21;1 945;
Indonesia;Jakarta;1 922 570.00;  100.00;1 890 754.00;  100.00;1 890 754.00;  100.00;1 860 359.67;  100.00;1 860 359.67;  100.00;1 860 359.67;  100.00;1 910 931.32;  100.00;1 910 931.32;  100.00;17 504;1 910 931.32; 100.00;17 504;1 910 931.32; 100.00;17 504;;1 910 931.32;; 100.00;17 504;;1 910 931.32;; 100.00;17 504;;1 913 578.68;; 100.00;17 504;;1 913 578.68;; 100.00;17 504;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Catatan:;1 Berdasarkan Peraturan Menteri Dalam Negeri Nomor 56 Tahun 2015 tanggal 29 Juni 2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2 Berdasarkan informasi Kementerian Dalam Negeri Tahun 2004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;3 Berdasarkan Undang-undang Republik Indonesia No. 20 Tahun 2012 tanggal 16 November 2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;4 Termasuk Kalimantan Utara;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;5 Termasuk Sulawesi Barat;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sumber:  Direktorat Jenderal Pemerintahan Umum, Kementerian Dalam Negeri;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dikutip dari Publikasi Statistik Indonesia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
